,_id,activityHotness,coins,description,hotness,originalImageUrl,primaryCategory,publishedAt,similarArticles,source,sourceDomain,thumbnail,title,url,words
0,5f7ca1963cd0430017ff13e9,0.4026261478588814,"[{u'tradingSymbol': u'BTC', u'_id': u'59cb59e81c073f09e76f614b', u'name': u'Bitcoin', u'slug': u'bitcoin'}, {u'tradingSymbol': u'ANT', u'_id': u'59d21e9b83a0523906a45df9', u'name': u'Aragon', u'slug': u'aragon'}, {u'tradingSymbol': u'DEFI', u'_id': u'5e3844a816c3760019f74b72', u'name': u'Defi', u'slug': u'defi'}, {u'tradingSymbol': u'LTC', u'_id': u'59d21e9b83a0523906a45db0', u'name': u'Litecoin', u'slug': u'litecoin'}, {u'tradingSymbol': u'NET', u'_id': u'5cd36d8270d74700100891ad', u'name': u'NEXT', u'slug': u'next'}, {u'tradingSymbol': u'xrp', u'_id': u'59cb5a047ab17a0b2ec00edf', u'name': u'Ripple', u'slug': u'ripple'}, {u'tradingSymbol': u'RIF', u'_id': u'5d462002e19efe001b381188', u'name': u'RIF Token', u'slug': u'rif-token'}, {u'tradingSymbol': u'ETH', u'_id': u'59cb59f9b0836b0a63aebc7c', u'name': u'Ethereum', u'slug': u'ethereum'}, {u'tradingSymbol': u'dai', u'_id': u'5a7b930d02ac032bc99781ba', u'name': u'Dai', u'slug': u'dai'}, {u'tradingSymbol': u'XRP', u'_id': u'5de5a582d37160001ab4bdff', u'name': u'XRP', u'slug': u'xrp'}]","Source: Adobe/ I-Wei Huang Get your daily, bite-sized digest of cryptoasset and blockchain-related news – investigating the stories flying under the radar of today’s crypto news. Regulation news In the UK, the Financial Conduct Authority (FCA) banned the sale of derivatives and exchange-traded notes…",74167.22165392563,https://cimg.co/w/articles/0/5f7/ca1790b5e9.jpg,General,2020-10-06T16:54:51.000Z,[],"{u'url': u'https://cryptonews.com/', u'_id': u'5c8fbb44a4410000111f614b', u'name': u'CryptoNews', u'favicon': u'https://assets.cryptocontrol.io/favicons/5c8fbb44a4410000111f614b.png'}",cryptonews.com,https://cloudfront.cryptocontrol.io/thumbnails/5f7ca1963cd0430017ff13e9-1602003350062.jpg,"New Crypto Ban, New Index, Litecoin's MimbleWimble Testnet + More News",https://cryptocontrol.io/r/api/article/5f7ca1963cd0430017ff13e9?ref=5f963694c3be7e001761fc25,981
1,5f7ca1633cd0430017ff13df,0.3369308725036954,"[{u'tradingSymbol': u'xrp', u'_id': u'59cb5a047ab17a0b2ec00edf', u'name': u'Ripple', u'slug': u'ripple'}, {u'tradingSymbol': u'XRP', u'_id': u'5de5a582d37160001ab4bdff', u'name': u'XRP', u'slug': u'xrp'}, {u'tradingSymbol': u'EGCC', u'_id': u'5b1b1885bad05a000f195d03', u'name': u'Engine', u'slug': u'engine'}, {u'tradingSymbol': u'EQL', u'_id': u'5a7b931902ac032bc9978264', u'name': u'Equal', u'slug': u'equal'}, {u'tradingSymbol': u'uni', u'_id': u'59d8e9a749f28d5610567379', u'name': u'Universe', u'slug': u'universe'}]","Catch up on the latest crypto market news at The Currency Analytics.
Ripple is working on all fronts to transform the traditional ecosystem of business of things especially the financial sector. This…
",74167.09017161325,https://cdn.thecurrencyanalytics.com/wp-content/uploads/2020/10/RippleNetXRP-300x300.jpg,Analysis,2020-10-06T16:31:10.000Z,[],"{u'url': u'https://thecurrencyanalytics.com/', u'_id': u'5c509bf423b00e00101f000b', u'name': u'TheCurrencyAnalytics', u'favicon': u'https://assets.cryptocontrol.io/favicons/5c509bf423b00e00101f000b.jpg'}",thecurrencyanalytics.com,https://cloudfront.cryptocontrol.io/thumbnails/5f7ca1633cd0430017ff13df-1602003299362.jpg,Ripple (XRP) Working Successfully at Transforming the Traditional Financial Market instead of Eliminating it,https://cryptocontrol.io/r/api/article/5f7ca1633cd0430017ff13df?ref=5f963694c3be7e001761fc25,486
2,5f7c859ea7c2cd00176b6e14,0.31679101896674444,"[{u'tradingSymbol': u'XRP', u'_id': u'5de5a582d37160001ab4bdff', u'name': u'XRP', u'slug': u'xrp'}, {u'tradingSymbol': u'BTC', u'_id': u'59cb59e81c073f09e76f614b', u'name': u'Bitcoin', u'slug': u'bitcoin'}, {u'tradingSymbol': u'xrp', u'_id': u'59cb5a047ab17a0b2ec00edf', u'name': u'Ripple', u'slug': u'ripple'}, {u'tradingSymbol': u'TOP', u'_id': u'5e3844aa16c3760019f74f7b', u'name': u'TOP', u'slug': u'top'}]","XRP Price Prediction – October 6 The Ripple (XRP) is currently pushing higher with 2.16% gains as the cryptocurrency manages to reclaim the $0.25 level. [...]
",74166.69146694489,https://cdn.insidebitcoins.com/wp-content/uploads/2020/10/XRPUSD_04102020.png,Analysis,2020-10-06T14:14:53.000Z,[],"{u'url': u'https://insidebitcoins.com/', u'_id': u'5ccabcb670d7470010854415', u'name': u'InsideBitcoins', u'favicon': u'https://assets.cryptocontrol.io/favicons/5ccabcb670d7470010854415.png'}",insidebitcoins.com,https://cloudfront.cryptocontrol.io/thumbnails/5f7c859ea7c2cd00176b6e14-1601996190794.png,Ripple Price Prediction: XRP/USD Bulls Wake Up As They Push Coin Above $0.25; More Bullish Pressure Ahead,https://cryptocontrol.io/r/api/article/5f7c859ea7c2cd00176b6e14?ref=5f963694c3be7e001761fc25,382
3,5f7c83cca7c2cd00176b6001,0.3026831591407539,"[{u'tradingSymbol': u'BTC', u'_id': u'59cb59e81c073f09e76f614b', u'name': u'Bitcoin', u'slug': u'bitcoin'}, {u'tradingSymbol': u'xrp', u'_id': u'59cb5a047ab17a0b2ec00edf', u'name': u'Ripple', u'slug': u'ripple'}, {u'tradingSymbol': u'XRP', u'_id': u'5de5a582d37160001ab4bdff', u'name': u'XRP', u'slug': u'xrp'}]","Starting January 6 2021, retail cryptocurrency traders in the United Kingdom (UK) will be prohibited from accessing crypto derivatives products, in an effort to protect the investors from possible risks associated. This comes as the final regulations of the country’s financial watchdog, the…",74166.65120167765,https://cryptopolitanimg.s3.amazonaws.com/wp-content/uploads/2020/10/06150202/united-kingdom-2132676_1920.jpg,Exchanges,2020-10-06T14:05:28.000Z,[],"{u'url': u'https://www.cryptopolitan.com/', u'_id': u'5bda96120c38a7001984d502', u'name': u'Cryptopolitan', u'favicon': u'https://assets.cryptocontrol.io/favicons/5bda96120c38a7001984d502.png'}",cryptopolitan.com,https://cloudfront.cryptocontrol.io/thumbnails/5f7c83cca7c2cd00176b6001-1601995725169.jpg,"UK regulator, FCA bans crypto derivatives trading for retails",https://cryptocontrol.io/r/api/article/5f7c83cca7c2cd00176b6001?ref=5f963694c3be7e001761fc25,200
4,5f7c7c30545af10017ccd76c,0.42300135692786567,"[{u'tradingSymbol': u'BTC', u'_id': u'59cb59e81c073f09e76f614b', u'name': u'Bitcoin', u'slug': u'bitcoin'}, {u'tradingSymbol': u'xrp', u'_id': u'59cb5a047ab17a0b2ec00edf', u'name': u'Ripple', u'slug': u'ripple'}, {u'tradingSymbol': u'BCH', u'_id': u'59d21e9b83a0523906a45daf', u'name': u'Bitcoin Cash', u'slug': u'bitcoin-cash'}, {u'tradingSymbol': u'LTC', u'_id': u'59d21e9b83a0523906a45db0', u'name': u'Litecoin', u'slug': u'litecoin'}, {u'tradingSymbol': u'DEFI', u'_id': u'5e3844a816c3760019f74b72', u'name': u'Defi', u'slug': u'defi'}, {u'tradingSymbol': u'BLT', u'_id': u'5a7b930b02ac032bc9978197', u'name': u'Bloom', u'slug': u'bloomtoken'}, {u'tradingSymbol': u'DEX', u'_id': u'5be61f883c4bad00168c1da8', u'name': u'DEX', u'slug': u'dex'}, {u'tradingSymbol': u'DTA', u'_id': u'5a7b931102ac032bc99781f1', u'name': u'DATA', u'slug': u'data'}, {u'tradingSymbol': u'XMR', u'_id': u'59d21e9b83a0523906a45db5', u'name': u'Monero', u'slug': u'monero'}, {u'tradingSymbol': u'ETH', u'_id': u'59cb59f9b0836b0a63aebc7c', u'name': u'Ethereum', u'slug': u'ethereum'}, {u'tradingSymbol': u'NET', u'_id': u'5cd36d8270d74700100891ad', u'name': u'NEXT', u'slug': u'next'}, {u'tradingSymbol': u'key', u'_id': u'5afcc60ced3b0e000f40d55c', u'name': u'KEY', u'slug': u'key'}, {u'tradingSymbol': u'BIT', u'_id': u'59d8e9a849f28d56105674fd', u'name': u'First Bitcoin', u'slug': u'first-bitcoin'}, {u'tradingSymbol': u'TOP', u'_id': u'5e3844aa16c3760019f74f7b', u'name': u'TOP', u'slug': u'top'}, {u'tradingSymbol': u'USDT', u'_id': u'59d21e9b83a0523906a45dbe', u'name': u'Tether', u'slug': u'tether'}, {u'tradingSymbol': u'READ', u'_id': u'5a7b931502ac032bc997822c', u'name': u'Read', u'slug': u'read'}]","Bloomberg analyst Mike McGlone has predicted that the price of bitcoin will hit $100,000 by 2025. McGlone premised his argument on past bitcoin trends, including the period in which the price took four years to go from $1,000 to $10,000 in 2017. “So, doubling that time frame for maturation could get…",74166.67397357915,https://news.bitcoin.com/wp-content/uploads/2020/10/bitcoin-to-hit-100000-in-five-years-as-demand-and-adoption-increase-report.jpg,General,2020-10-06T13:30:21.000Z,[],"{u'url': u'https://news.bitcoin.com/', u'_id': u'59d71c67ef8bf95cc2ab0147', u'name': u'Bitcoin.com', u'favicon': u'https://assets.cryptocontrol.io/favicons/59d71c67ef8bf95cc2ab0147.png'}",news.bitcoin.com,https://cloudfront.cryptocontrol.io/thumbnails/5f7c7c30545af10017ccd76c-1601993776613.jpg,"Bitcoin To Hit $100,000 in Five Years as Demand and Adoption Increase – Report",https://cryptocontrol.io/r/api/article/5f7c7c30545af10017ccd76c?ref=5f963694c3be7e001761fc25,1833
5,5f7c680c9e8df60019c96a12,0.3423031246069913,"[{u'tradingSymbol': u'xrp', u'_id': u'59cb5a047ab17a0b2ec00edf', u'name': u'Ripple', u'slug': u'ripple'}, {u'tradingSymbol': u'ETH', u'_id': u'59cb59f9b0836b0a63aebc7c', u'name': u'Ethereum', u'slug': u'ethereum'}, {u'tradingSymbol': u'NET', u'_id': u'5cd36d8270d74700100891ad', u'name': u'NEXT', u'slug': u'next'}, {u'tradingSymbol': u'EQL', u'_id': u'5a7b931902ac032bc9978264', u'name': u'Equal', u'slug': u'equal'}, {u'tradingSymbol': u'BTC', u'_id': u'59cb59e81c073f09e76f614b', u'name': u'Bitcoin', u'slug': u'bitcoin'}, {u'tradingSymbol': u'TOP', u'_id': u'5e3844aa16c3760019f74f7b', u'name': u'TOP', u'slug': u'top'}, {u'tradingSymbol': u'key', u'_id': u'5afcc60ced3b0e000f40d55c', u'name': u'KEY', u'slug': u'key'}]","The last 24 hours have been slightly encouraging as BTC and other major cryptocurrencies strides for some upward momentum. In the meantime, BTC has crossed the $10,700 area and seems to be interested in further gains. Bitcoin (BTC) had recently experienced a price dump of around 15% altogether. This…",74166.41105312461,http://image.coinpedia.org/wp-content/uploads/2020/10/06121942/crypto-rally.png,General,2020-10-06T12:24:45.000Z,[],"{u'url': u'https://coinpedia.org/', u'_id': u'5bf00e7e3c4bad0016748067', u'name': u'Coinpedia', u'favicon': u'https://assets.cryptocontrol.io/favicons/5bf00e7e3c4bad0016748067.png'}",coinpedia.org,https://cloudfront.cryptocontrol.io/thumbnails/5f7c680c9e8df60019c96a12-1601988620457.png,Bitcoin Attempts A Bullish Bounce As Major Alts Mirror Effects,https://cryptocontrol.io/r/api/article/5f7c680c9e8df60019c96a12?ref=5f963694c3be7e001761fc25,489
6,5f7c4a8d7986c600175faf2e,0.24816045409242157,"[{u'tradingSymbol': u'DEFI', u'_id': u'5e3844a816c3760019f74b72', u'name': u'Defi', u'slug': u'defi'}, {u'tradingSymbol': u'xrp', u'_id': u'59cb5a047ab17a0b2ec00edf', u'name': u'Ripple', u'slug': u'ripple'}]","Decentralized finance “may prove difficult to subject to regulatory requirements,” a regulatory adviser says.
The European Commission’s newly proposed cryptocurrency regulations pose a specific risk for the decentralized finance (DeFi) industry, according to industry regulatory adviser XReg…",74166.00376230595,https://images.cointelegraph.com/images/740_aHR0cHM6Ly9zMy5ldS1jZW50cmFsLTEuYW1hem9uYXdzLmNvbS9zMy5jb2ludGVsZWdyYXBoLmNvbS91cGxvYWRzLzIwMjAtMTAvYmI5OTgzNDItM2RmNC00MWI5LThmOTktNzc5ZmE0OTY3NjIxLmpwZw==.jpg,General,2020-10-06T10:32:01.000Z,[],"{u'url': u'https://cointelegraph.com/', u'_id': u'59d70be3ef8bf95cc2aa2b4f', u'name': u'CoinTelegraph', u'favicon': u'https://assets.cryptocontrol.io/favicons/59d70be3ef8bf95cc2aa2b4f.png'}",cointelegraph.com,https://cloudfront.cryptocontrol.io/thumbnails/5f7c4a8d7986c600175faf2e-1601981069353.jpg,Report: Europe’s new crypto regulations pose existential questions for DeFi ,https://cryptocontrol.io/r/api/article/5f7c4a8d7986c600175faf2e?ref=5f963694c3be7e001761fc25,329
7,5f7c4a657986c600175faf1e,0.2754403682684286,"[{u'tradingSymbol': u'xrp', u'_id': u'59cb5a047ab17a0b2ec00edf', u'name': u'Ripple', u'slug': u'ripple'}, {u'tradingSymbol': u'XRP', u'_id': u'5de5a582d37160001ab4bdff', u'name': u'XRP', u'slug': u'xrp'}]","The judge threw out some of the claims in the lawsuit but the case can continue based on others relating to allegedly misleading statements by CEO Brad Garlinghouse.
",74166.01423666456,https://static.coindesk.com/wp-content/uploads/2020/06/32362628987_dfe77dfe5b_o-1200x628.jpg,ICO,2020-10-06T10:25:58.000Z,[],"{u'url': u'http://coindesk.com', u'_id': u'59ce11393a44cf289a9a71f5', u'name': u'CoinDesk', u'favicon': u'https://assets.cryptocontrol.io/favicons/59ce11393a44cf289a9a71f5.png'}",coindesk.com,https://cloudfront.cryptocontrol.io/thumbnails/5f7c4a657986c600175faf1e-1601981029772.jpg,Ripple Has Mixed Success in Motion to Dismiss Lawsuit Alleging Securities Fraud - CoinDesk,https://cryptocontrol.io/r/api/article/5f7c4a657986c600175faf1e?ref=5f963694c3be7e001761fc25,416
8,5f7c56117986c600176021b5,0.2449269160281279,"[{u'tradingSymbol': u'TOP', u'_id': u'5e3844aa16c3760019f74f7b', u'name': u'TOP', u'slug': u'top'}, {u'tradingSymbol': u'xrp', u'_id': u'59cb5a047ab17a0b2ec00edf', u'name': u'Ripple', u'slug': u'ripple'}, {u'tradingSymbol': u'pres', u'_id': u'59d8e9a749f28d5610567499', u'name': u'President Trump', u'slug': u'president-trump'}]","Chief Asia Economist at Goldman Sachs said that of all the regions, Asia appears to be the one ‘best positioned’ for economic recovery.",74165.976639879,https://www.coinspeaker.com/wp-content/uploads/2020/10/asia-best-positioned-economic-recovery.jpg,General,2020-10-06T10:23:25.000Z,[],"{u'url': u'https://www.coinspeaker.com/', u'_id': u'5b4b5794c831fd000f6b5152', u'name': u'CoinSpeaker', u'favicon': u'https://assets.cryptocontrol.io/favicons/5b4b5794c831fd000f6b5152.png'}",coinspeaker.com,https://cloudfront.cryptocontrol.io/thumbnails/5f7c56117986c600176021b5-1601984017649.jpg,"Asia Is ‘Best Positioned’ for Economic Recovery, Goldman Sachs Analyst...",https://cryptocontrol.io/r/api/article/5f7c56117986c600176021b5?ref=5f963694c3be7e001761fc25,559
9,5f7c44e221f92500171ce5c8,0.2593308530504217,"[{u'tradingSymbol': u'XRP', u'_id': u'5de5a582d37160001ab4bdff', u'name': u'XRP', u'slug': u'xrp'}, {u'tradingSymbol': u'xrp', u'_id': u'59cb5a047ab17a0b2ec00edf', u'name': u'Ripple', u'slug': u'ripple'}, {u'tradingSymbol': u'ANCT', u'_id': u'5e3844aa16c3760019f74e74', u'name': u'Anchor', u'slug': u'anchor'}, {u'tradingSymbol': u'NET', u'_id': u'5cd36d8270d74700100891ad', u'name': u'NEXT', u'slug': u'next'}, {u'tradingSymbol': u'DTA', u'_id': u'5a7b931102ac032bc99781f1', u'name': u'DATA', u'slug': u'data'}]",Ripple price testing $0.25 resistance Breaking past $0.25 could send Ripple towards $0.30 XRP whales declining Ripple price general overview Ripple price found firm support near the $0.23 price level at the beginning of the month. The XRP/USD pair bounced from this anchor point to kickstart a…,74165.82349751971,https://cryptopolitanimg.s3.amazonaws.com/wp-content/uploads/2020/10/06102045/water-1759703_1280.jpg,Analysis,2020-10-06T09:23:06.000Z,[],"{u'url': u'https://www.cryptopolitan.com/', u'_id': u'5bda96120c38a7001984d502', u'name': u'Cryptopolitan', u'favicon': u'https://assets.cryptocontrol.io/favicons/5bda96120c38a7001984d502.png'}",cryptopolitan.com,https://cloudfront.cryptocontrol.io/thumbnails/5f7c44e221f92500171ce5c8-1601979620316.jpg,Ripple price prediction: Is XRP price aiming for $0.30 next?,https://cryptocontrol.io/r/api/article/5f7c44e221f92500171ce5c8?ref=5f963694c3be7e001761fc25,399
