close,high,low,open,volume,baseVolume,datetime
7177.02000000,7196.25000000,7175.46000000,7195.24000000,511.81490100,226.15312600,2020-01-01 00:00:00
7216.27000000,7230.00000000,7175.71000000,7176.47000000,883.05260300,570.72141900,2020-01-01 01:00:00
7242.85000000,7244.87000000,7211.41000000,7215.52000000,655.15680900,357.18026300,2020-01-01 02:00:00
7225.01000000,7245.00000000,7220.00000000,7242.66000000,783.72486700,394.81081100,2020-01-01 03:00:00
7217.27000000,7230.00000000,7215.03000000,7225.00000000,467.81257800,243.51470600,2020-01-01 04:00:00
7224.21000000,7229.76000000,7216.65000000,7217.26000000,344.67059600,194.89852500,2020-01-01 05:00:00
7225.62000000,7236.27000000,7221.51000000,7224.24000000,621.46702300,288.40033000,2020-01-01 06:00:00
7209.83000000,7232.94000000,7199.11000000,7225.88000000,627.34485400,322.89767500,2020-01-01 07:00:00
7200.64000000,7210.00000000,7180.00000000,7209.83000000,915.54597400,440.88746400,2020-01-01 08:00:00
7188.77000000,7210.51000000,7188.00000000,7200.29000000,636.38610200,287.51833300,2020-01-01 09:00:00
7202.00000000,7210.00000000,7185.20000000,7189.07000000,537.76280400,288.27848100,2020-01-01 10:00:00
7197.20000000,7237.73000000,7188.61000000,7202.01000000,1076.95948100,545.66003600,2020-01-01 11:00:00
7225.59000000,7233.33000000,7196.15000000,7197.20000000,868.75358000,504.45494500,2020-01-01 12:00:00
7221.20000000,7231.89000000,7212.88000000,7225.84000000,612.18090200,323.27064500,2020-01-01 13:00:00
7221.43000000,7234.97000000,7208.17000000,7221.17000000,617.71418500,317.52608800,2020-01-01 14:00:00
7234.19000000,7255.00000000,7218.29000000,7221.60000000,1393.88879200,941.02744100,2020-01-01 15:00:00
7245.37000000,7246.42000000,7214.00000000,7234.20000000,881.93278000,454.71804500,2020-01-01 16:00:00
7236.83000000,7249.99000000,7224.92000000,7244.34000000,1069.21056700,688.26337100,2020-01-01 17:00:00
7240.67000000,7246.72000000,7225.17000000,7237.02000000,611.69330700,322.84727600,2020-01-01 18:00:00
7229.48000000,7241.00000000,7225.49000000,7240.80000000,417.74663700,207.23190200,2020-01-01 19:00:00
7236.73000000,7242.98000000,7224.68000000,7229.48000000,391.83417400,198.75480400,2020-01-01 20:00:00
7233.17000000,7242.75000000,7227.00000000,7237.26000000,285.45407800,142.47724400,2020-01-01 21:00:00
7197.99000000,7234.49000000,7186.00000000,7233.32000000,769.03041100,356.77135100,2020-01-01 22:00:00
7200.85000000,7204.17000000,7175.15000000,7197.62000000,811.25016000,328.69125400,2020-01-01 23:00:00
7211.02000000,7212.50000000,7185.46000000,7200.77000000,391.35237700,219.08623100,2020-01-02 00:00:00
7190.99000000,7211.16000000,7185.11000000,7211.04000000,402.66013900,200.65318600,2020-01-02 01:00:00
7169.02000000,7191.00000000,7155.35000000,7190.99000000,1387.37788600,616.31999800,2020-01-02 02:00:00
7129.61000000,7169.06000000,7120.37000000,7169.04000000,1557.96443000,703.17502800,2020-01-02 03:00:00
7142.21000000,7161.00000000,7116.70000000,7129.25000000,1252.44787700,585.15616300,2020-01-02 04:00:00
7138.93000000,7152.05000000,7126.93000000,7142.61000000,569.50899000,255.59866400,2020-01-02 05:00:00
7135.97000000,7149.02000000,7121.43000000,7138.93000000,687.60066500,326.44149000,2020-01-02 06:00:00
7110.57000000,7140.63000000,7105.00000000,7136.04000000,1548.40382300,647.34540300,2020-01-02 07:00:00
7154.36000000,7157.48000000,7109.11000000,7110.98000000,1114.82512800,525.10134100,2020-01-02 08:00:00
7162.01000000,7165.00000000,7135.36000000,7153.57000000,840.00132800,503.95777600,2020-01-02 09:00:00
7161.83000000,7180.00000000,7153.33000000,7162.18000000,1446.21998400,721.57392700,2020-01-02 10:00:00
7139.79000000,7168.67000000,7139.03000000,7161.89000000,761.15657000,372.30049400,2020-01-02 11:00:00
7158.29000000,7163.40000000,7139.03000000,7139.73000000,794.03049700,419.73442300,2020-01-02 12:00:00
7131.15000000,7163.35000000,7107.43000000,7158.86000000,1566.28069300,587.95759100,2020-01-02 13:00:00
7135.59000000,7157.10000000,7122.34000000,7131.18000000,956.30092500,506.15111100,2020-01-02 14:00:00
7130.98000000,7152.00000000,7120.00000000,7135.59000000,862.42971800,415.47998000,2020-01-02 15:00:00
7052.32000000,7146.85000000,7020.00000000,7130.37000000,3604.47415200,1381.17523900,2020-01-02 16:00:00
6970.04000000,7053.09000000,6924.74000000,7052.32000000,6183.82554000,3059.63614100,2020-01-02 17:00:00
6974.02000000,6989.68000000,6949.96000000,6970.04000000,1513.59793900,855.75623300,2020-01-02 18:00:00
6983.27000000,6995.00000000,6960.00000000,6974.02000000,1397.13060200,689.31839800,2020-01-02 19:00:00
6948.49000000,6983.22000000,6941.27000000,6982.63000000,1138.64633400,498.33434600,2020-01-02 20:00:00
6977.73000000,6985.00000000,6946.20000000,6948.16000000,665.85671500,357.64408600,2020-01-02 21:00:00
6974.80000000,6978.24000000,6963.02000000,6977.55000000,568.32402900,283.30760900,2020-01-02 22:00:00
6965.71000000,6974.80000000,6950.00000000,6974.80000000,741.06759100,410.40648200,2020-01-02 23:00:00
6937.00000000,6966.47000000,6912.88000000,6965.49000000,1106.73204300,540.40911600,2020-01-03 00:00:00
6888.85000000,6946.07000000,6878.19000000,6937.00000000,2402.58168400,1060.03336400,2020-01-03 01:00:00
6956.88000000,6966.80000000,6871.04000000,6888.26000000,2869.99355300,1219.75262200,2020-01-03 02:00:00
6952.04000000,6966.36000000,6940.00000000,6957.66000000,1246.58950800,790.42618400,2020-01-03 03:00:00
7210.19000000,7264.71000000,6948.64000000,6952.04000000,9560.89769700,5333.28120100,2020-01-03 04:00:00
7220.47000000,7249.00000000,7168.48000000,7210.20000000,3575.77096500,1664.40199800,2020-01-03 05:00:00
7202.22000000,7225.00000000,7190.14000000,7220.49000000,2075.25916000,1178.02364100,2020-01-03 06:00:00
7203.21000000,7232.00000000,7185.04000000,7202.06000000,2185.37688400,1205.43434100,2020-01-03 07:00:00
7260.60000000,7297.29000000,7202.28000000,7202.28000000,3976.53450900,1973.20628100,2020-01-03 08:00:00
7348.42000000,7358.88000000,7256.56000000,7260.64000000,5469.03063200,2770.95700100,2020-01-03 09:00:00
7312.25000000,7371.92000000,7281.30000000,7349.30000000,3924.46241400,2031.21387800,2020-01-03 10:00:00
7340.46000000,7346.00000000,7306.61000000,7312.26000000,1826.85746600,1054.22131600,2020-01-03 11:00:00
7322.78000000,7350.19000000,7303.14000000,7340.46000000,1717.22262000,897.96389000,2020-01-03 12:00:00
7348.87000000,7380.00000000,7311.59000000,7324.10000000,1906.46899800,1164.18671300,2020-01-03 13:00:00
7254.73000000,7362.31000000,7229.30000000,7348.36000000,4583.64311900,2025.43659600,2020-01-03 14:00:00
7320.18000000,7322.44000000,7252.48000000,7255.49000000,2371.65079200,1389.52840600,2020-01-03 15:00:00
7386.03000000,7405.00000000,7293.10000000,7320.17000000,5852.32693400,3053.03153200,2020-01-03 16:00:00
7355.26000000,7403.20000000,7335.21000000,7388.21000000,2201.22306300,1275.36580600,2020-01-03 17:00:00
7342.96000000,7369.47000000,7330.32000000,7355.23000000,1422.53160200,690.97923400,2020-01-03 18:00:00
7343.08000000,7352.33000000,7280.00000000,7342.95000000,2259.00287800,1076.91757200,2020-01-03 19:00:00
7316.99000000,7361.00000000,7297.01000000,7343.62000000,1546.01318200,812.46745300,2020-01-03 20:00:00
7283.00000000,7335.00000000,7262.68000000,7317.01000000,1227.92914500,576.86847300,2020-01-03 21:00:00
7300.56000000,7320.54000000,7260.01000000,7281.69000000,1407.54526500,746.19545100,2020-01-03 22:00:00
7344.96000000,7346.08000000,7291.75000000,7301.32000000,1712.85633800,1065.19420400,2020-01-03 23:00:00
7302.24000000,7350.00000000,7289.98000000,7345.00000000,1240.40648400,638.58482500,2020-01-04 00:00:00
7309.16000000,7312.58000000,7280.85000000,7304.96000000,821.32123900,385.80082900,2020-01-04 01:00:00
7327.83000000,7328.99000000,7296.18000000,7308.71000000,868.28171500,480.70270400,2020-01-04 02:00:00
